	standard_concept_name
0	gabapentin 300 MG Oral Capsule [Neurontin]
1	captopril 25 MG Oral Tablet
2	olanzapine 10 MG Oral Tablet [Zyprexa]
3	canagliflozin 300 MG Oral Tablet [Invokana]
4	benzonatate 200 MG Oral Capsule [Tessalon]
5	500 ML glucose 100 MG/ML Injection
6	trimethobenzamide 200 MG Rectal Suppository
7	dextromethorphan hydrobromide 20 MG / quinidine sulfate 10 MG Oral Capsule
8	tretinoin 0.00025 MG/MG Topical Gel
9	chlordiazepoxide hydrochloride 5 MG / clidinium bromide 2.5 MG Oral Capsule
10	dolasetron mesylate 20 MG/ML Injectable Solution
11	50 ML propofol 10 MG/ML Injection [Diprivan]
12	glycerin 2100 MG Rectal Suppository [Sani-Supp]
13	24 HR carvedilol phosphate 20 MG Extended Release Oral Capsule
14	1 ML isoproterenol hydrochloride 0.2 MG/ML Injection
15	24 HR metoprolol succinate 100 MG Extended Release Oral Tablet [Toprol]
16	lidocaine hydrochloride 8 MG/ML Injection
17	erythromycin 20 MG/ML Topical Solution [T-Stat]
18	ibuprofen 200 MG
19	ramipril 2.5 MG [Altace]
20	cephalexin 750 MG
21	clozapine 25 MG Oral Tablet [Clozaril]
22	guaifenesin 20 MG/ML / hydrocodone bitartrate 0.5 MG/ML / pseudoephedrine hydrochloride 6 MG/ML Oral Solution
23	olsalazine sodium 250 MG Oral Capsule [Dipentum]
24	escitalopram 1 MG/ML Oral Solution [Lexapro]
25	celecoxib 200 MG
26	potassium chloride 8 MEQ Oral Tablet
27	cetirizine hydrochloride 10 MG Chewable Tablet [Wal-Zyr]
28	10 ML sodium bicarbonate 42 MG/ML Injection
29	methylphenidate hydrochloride 10 MG Extended Release Oral Tablet [Methylin]
30	doxycycline hyclate 50 MG Delayed Release Oral Tablet [Doryx]
31	naproxen 250 MG Oral Tablet [Arthroxen]
32	folic acid 2.2 MG / vitamin B12 1 MG / vitamin B6 25 MG Oral Tablet [Folplex]
33	{1 (42500 MG) (hydrocortisone 0.01 MG/MG Topical Gel) / 1 (60000 MG) (ketoconazole 20 MG/ML Topical Cream) } Pack [Ketocon Plus]
34	tedizolid phosphate 200 MG Injection
35	thiamine 100 MG Oral Capsule
36	ammonium chloride
37	antazoline phosphate 5 MG/ML / naphazoline hydrochloride 0.5 MG/ML Ophthalmic Solution
38	cephalexin 50 MG/ML Oral Solution
39	tolazamide 100 MG [Tolinase]
40	zinc sulfate 220 MG Oral Capsule [Mar-Zinc]
41	ferrous fumarate 324 MG / folic acid 1 MG Oral Tablet [Hemocyte-F]
42	ceftazidime 250 MG/ML Injectable Solution [Ceptaz]
43	atropine sulfate 10 MG/ML Ophthalmic Solution
44	modafinil 200 MG Oral Tablet [Provigil]
45	0.5 ML fondaparinux sodium 5 MG/ML Prefilled Syringe
46	amlodipine 10 MG / hydrochlorothiazide 25 MG / olmesartan medoxomil 40 MG Oral Tablet [Tribenzor]
47	0.5 ML influenza A-California-7-2009-(H1N1)v-like virus vaccine 0.03 MG/ML / influenza B virus vaccine B/Brisbane/60/2008 antigen 0.03 MG/ML / influenza virus vaccine, inactivated A-Victoria-210-2009 X-187 (H3N2) (A-Perth-16-2009) strain 0.03 MG/ML Pre...
48	10 ML eptifibatide 2 MG/ML Injection
49	sulfasalazine 500 MG Oral Tablet [Azulfidine]
50	24 HR dexmethylphenidate hydrochloride 10 MG Extended Release Oral Capsule
51	brimonidine 0.0033 MG/MG Topical Gel [Mirvaso]
52	60 ACTUAT flunisolide 0.08 MG/ACTUAT Metered Dose Inhaler [Aerospan]
53	acarbose 100 MG Oral Tablet [Precose]
54	methysergide 2 MG Oral Tablet
55	labetalol hydrochloride 100 MG Oral Tablet [Normodyne]
56	bacitracin zinc 0.5 UNT/MG Topical Ointment [Bacitraycin Plus]
57	magnesium citrate 125 MG Oral Capsule
58	Lactobacillus acidophilus 500000000 UNT Oral Capsule
59	venlafaxine 150 MG
60	benzoyl peroxide 50 MG/ML Medicated Liquid Soap [Benzac]
61	propofol 10 MG/ML
62	acetaminophen / oxycodone Oral Tablet [Percocet]
63	fluoxetine 20 MG [Sarafem]
64	nabumetone 500 MG
65	urea 0.4 MG/MG Topical Ointment
66	camphor 5 MG/ML / menthol 5 MG/ML Topical Lotion [Men-phor]
67	cimetidine 60 MG/ML Oral Solution
68	ethanolamine oleate
69	hydrochlorothiazide 50 MG / spironolactone 50 MG Oral Tablet
70	ibuprofen 100 MG Chewable Tablet [Advil]
71	12 HR chlorpheniramine maleate 4 MG / methscopolamine nitrate 1.25 MG / phenylephrine hydrochloride 10 MG Extended Release Oral Tablet
72	insulin human, rDNA origin 3 MG Inhalation Powder
73	minocycline 100 MG Oral Capsule [Aknemin]
74	ranitidine 300 MG Oral Tablet [Rantec]
75	ibuprofen 400 MG Oral Tablet [Ibumed]
76	inositol 324 MG Oral Tablet
77	hydrochlorothiazide 25 MG / triamterene 37.5 MG Oral Tablet
78	amitriptyline hydrochloride 10 MG Oral Tablet
79	beclomethasone
80	aminophylline 25 MG/ML Injection
81	lidocaine 50 MG/ML Topical Cream
82	phenylephrine hydrochloride 25 MG/ML Ophthalmic Solution [Neo-Synephrine]
83	acetic acid 20 MG/ML / hydrocortisone 10 MG/ML Otic Solution
84	olopatadine 7 MG/ML Ophthalmic Solution
85	cyclosporine 25 MG Oral Capsule [Sandimmune]
86	loperamide hydrochloride 2 MG Oral Tablet [Vaprino]
87	diphtheria toxoid vaccine, inactivated 4 LFU/ML / tetanus toxoid vaccine, inactivated 10 LFU/ML Injectable Suspension
88	sotalol hydrochloride 80 MG Oral Tablet [Sorine]
89	lacosamide 10 MG/ML Oral Solution [Vimpat]
90	risperidone 1 MG [Risperdal]
91	clonazepam 0.5 MG
92	bromocriptine 2.5 MG [Parlodel]
93	acetaminophen 1000 MG
94	rofecoxib 5 MG/ML [Vioxx]
95	hydrocortisone acetate 10 MG/ML / pramoxine hydrochloride 10 MG/ML Topical Spray
96	Streptococcus pneumoniae serotype 19A capsular antigen diphtheria CRM197 protein conjugate vaccine
97	ecothiopate
98	0.5 ML influenza A-California-7-2009-(H1N1)v-like virus vaccine 0.12 MG/ML / influenza B virus vaccine B/Brisbane/60/2008 antigen 0.12 MG/ML / influenza virus vaccine, inactivated A-Victoria-210-2009 X-187 (H3N2) (A-Perth-16-2009) strain 0.12 MG/ML Pre...
99	sulfacetamide sodium 100 MG/ML Topical Lotion [Sebizon]
100	chondroitin sulfates 600 MG
101	acetaminophen 32 MG/ML / diphenhydramine hydrochloride 1.25 MG/ML / phenylephrine hydrochloride 0.5 MG/ML Oral Solution
102	bromocriptine 2.5 MG
103	calcium carbonate 265 MG / magnesium chloride 535 MG Delayed Release Oral Tablet [Slow-Mag]
104	interferon alfa-2b 3000000 UNT/ML Injectable Solution [Intron A]
105	ibuprofen 400 MG Oral Tablet [Brufen]
106	fluvoxamine maleate 150 MG
107	calcium carbonate 1500 MG / cholecalciferol 100 UNT Oral Capsule
108	chlorpheniramine maleate 2 MG Chewable Tablet
109	pilocarpine hydrochloride 2.5 MG/ML Ophthalmic Solution [Isoptocarpine]
110	ampicillin 30 MG/ML / sulbactam 15 MG/ML Injectable Solution [Unasyn]
111	hydrochlorothiazide 10 MG/ML Oral Solution
112	hydrochlorothiazide 50 MG / triamterene 75 MG Oral Tablet
113	sertraline 100 MG Oral Tablet [Zoloft]
114	pregabalin 100 MG Oral Capsule [Lyrica]
115	sodium chloride 0.000855 MEQ/MG Ophthalmic Ointment [Sochlor]
116	niacin 1000 MG Extended Release Oral Tablet
117	aprepitant 40 MG Oral Capsule
118	Streptococcus pneumoniae serotype 4 capsular antigen diphtheria CRM197 protein conjugate vaccine
119	tacrolimus 0.0003 MG/MG Topical Ointment
120	60 ACTUAT ciclesonide 0.16 MG/ACTUAT Metered Dose Inhaler [Alvesco]
121	24 HR ropinirole 8 MG Extended Release Oral Tablet
122	esomeprazole 20 MG / naproxen 500 MG Delayed Release Oral Tablet [Vimovo]
123	ciprofloxacin 200 MG Injectable Solution
124	estradiol 0.00104 MG/HR Transdermal System [Fempatch]
125	ivermectin
126	polyethylene glycol 3350 240000 MG / potassium chloride 2980 MG / sodium bicarbonate 6720 MG / sodium chloride 5840 MG / sodium sulfate 22720 MG Powder for Oral Solution [Colyte]
127	desonide 0.5 MG/ML Topical Cream [Desonil]
128	entacapone
129	azilsartan medoxomil 40 MG Oral Tablet
130	fluticasone furoate 0.2 MG/ACTUAT / vilanterol 0.025 MG/ACTUAT Dry Powder Inhaler
131	perindopril erbumine 4 MG Oral Tablet [Aceon]
132	felbamate 120 MG/ML Oral Suspension [Felbatol]
133	18 ML amiodarone hydrochloride 50 MG/ML Prefilled Syringe
134	oxybutynin chloride 5 MG [Ditropan]
135	demeclocycline hydrochloride 300 MG Oral Tablet [Declomycin]
136	5 ML milrinone lactate 1 MG/ML Injection
137	ciprofloxacin 50 MG/ML Oral Suspension
138	oxycodone 2.5 MG
139	diphenhydramine hydrochloride 25 MG Oral Capsule [Z-Sleep]
140	lisinopril 10 MG Oral Tablet [Carace]
141	dextromethorphan hydrobromide 10 MG / guaifenesin 100 MG Oral Tablet
142	24 HR lamotrigine 200 MG Extended Release Oral Tablet [Lamictal]
143	urea 0.5 MG/MG Topical Gel
144	hydrocortisone 10 MG/ML / neomycin 3.5 MG/ML / polymyxin B 10000 UNT/ML Otic Solution [Drotic]
145	mineral oil 5 MG/ML / mineral oil, light 5 MG/ML Ophthalmic Solution
146	amlodipine 5 MG / atorvastatin 80 MG Oral Tablet [Caduet]
147	ropivacaine 0.001 MG/ML
148	loracarbef 200 MG [Lorabid]
149	hydrocortisone 0.01 MG/MG Topical Ointment [Cortizone]
150	14 ACTUAT fluticasone furoate 0.2 MG/ACTUAT / umeclidinium 0.0625 MG/ACTUAT / vilanterol 0.025 MG/ACTUAT Dry Powder Inhaler
